2021-10-12 11:53:16 INFO  Logging:51 - User was successfully logged in
2021-10-12 11:53:19 INFO  Logging:242 - New deposit detected.
2021-10-12 11:53:27 INFO  Logging:266 - New withdrawal detected.
2021-10-12 12:01:11 INFO  Logging:51 - User was successfully logged in
2021-10-12 12:02:14 INFO  Logging:51 - User was successfully logged in
2021-10-12 12:04:55 INFO  Logging:51 - User was successfully logged in
2021-10-12 12:04:59 INFO  Logging:242 - New deposit detected.
2021-10-12 12:05:15 INFO  Logging:266 - New withdrawal detected.
2021-10-12 12:05:56 INFO  Logging:51 - User was successfully logged in
2021-10-12 12:06:09 INFO  Logging:266 - New withdrawal detected.
2021-10-12 12:21:01 INFO  Logging:51 - User was successfully logged in
2021-10-12 12:28:14 INFO  Logging:51 - User was successfully logged in
2021-10-12 12:47:35 INFO  Logging:51 - User was successfully logged in
2021-10-12 12:47:40 INFO  Logging:246 - New deposit detected.
2021-10-12 12:50:53 INFO  Logging:51 - User was successfully logged in
2021-10-12 12:51:39 INFO  Logging:51 - User was successfully logged in
2021-10-12 12:52:17 INFO  Logging:51 - User was successfully logged in
2021-10-12 12:52:58 INFO  Logging:51 - User was successfully logged in
2021-10-12 12:53:10 INFO  Logging:246 - New deposit detected.
2021-10-12 12:54:10 INFO  Logging:51 - User was successfully logged in
2021-10-12 12:54:46 WARN  Logging:48 - User has used an incorrect password
2021-10-12 12:54:52 INFO  Logging:51 - User was successfully logged in
2021-10-12 12:59:09 INFO  Logging:51 - User was successfully logged in
2021-10-12 12:59:38 INFO  Logging:51 - User was successfully logged in
2021-10-12 13:02:36 INFO  Logging:51 - User was successfully logged in
2021-10-12 13:03:55 INFO  Logging:51 - User was successfully logged in
2021-10-12 13:05:13 INFO  Logging:51 - User was successfully logged in
2021-10-12 13:06:14 INFO  Logging:51 - User was successfully logged in
2021-10-12 13:08:47 INFO  Logging:51 - User was successfully logged in
2021-10-12 13:10:50 INFO  Logging:51 - User was successfully logged in
2021-10-12 13:11:26 INFO  Logging:51 - User was successfully logged in
2021-10-12 13:12:53 INFO  Logging:51 - User was successfully logged in
2021-10-12 13:13:24 INFO  Logging:51 - User was successfully logged in
2021-10-12 13:15:00 INFO  Logging:51 - User was successfully logged in
2021-10-12 13:15:30 INFO  Logging:51 - User was successfully logged in
2021-10-12 13:18:07 INFO  Logging:51 - User was successfully logged in
2021-10-12 13:22:12 INFO  Logging:51 - User was successfully logged in
2021-10-12 13:24:14 INFO  Logging:51 - User was successfully logged in
2021-10-12 13:26:23 INFO  Logging:51 - User was successfully logged in
2021-10-12 13:26:48 INFO  Logging:51 - User was successfully logged in
2021-10-12 13:28:03 INFO  Logging:51 - User was successfully logged in
2021-10-12 13:29:20 INFO  Logging:51 - User was successfully logged in
2021-10-12 13:36:40 INFO  Logging:51 - User was successfully logged in
2021-10-12 17:59:36 INFO  Logging:51 - User was successfully logged in
2021-10-12 17:59:41 INFO  Logging:247 - New deposit detected.
2021-10-12 18:01:28 INFO  Logging:51 - User was successfully logged in
2021-10-12 18:01:34 INFO  Logging:247 - New deposit detected.
2021-10-12 18:02:25 INFO  Logging:51 - User was successfully logged in
2021-10-12 18:02:29 INFO  Logging:247 - New deposit detected.
2021-10-12 18:03:15 INFO  Logging:51 - User was successfully logged in
2021-10-12 18:03:23 INFO  Logging:247 - New deposit detected.
2021-10-12 18:04:24 INFO  Logging:51 - User was successfully logged in
2021-10-12 18:04:30 INFO  Logging:247 - New deposit detected.
